,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2021-11,BTCUSDT,ETHUSDT,SHIBUSDT,DOGEUSDT,SOLUSDT,BNBUSDT,DOTUSDT,XRPUSDT,ADAUSDT,FTMUSDT,AXSUSDT,FILUSDT,MATICUSDT,AVAXUSDT,LUNAUSDT,TRXUSDT,LINKUSDT,OMGUSDT,ATOMUSDT,ONEUSDT,DYDXUSDT,SLPUSDT,VETUSDT,LTCUSDT,THETAUSDT,MANAUSDT,CHZUSDT,ICPUSDT,ALGOUSDT,EOSUSDT
2021-12,BTCUSDT,SHIBUSDT,ETHUSDT,BNBUSDT,MANAUSDT,SANDUSDT,SOLUSDT,DOTUSDT,XRPUSDT,AVAXUSDT,ADAUSDT,DOGEUSDT,TRXUSDT,LRCUSDT,GALAUSDT,LTCUSDT,OMGUSDT,FTMUSDT,FILUSDT,SLPUSDT,VETUSDT,MATICUSDT,CHRUSDT,CHZUSDT,LINKUSDT,IOTXUSDT,LUNAUSDT,ALICEUSDT,ALGOUSDT,ENJUSDT
2022-01,BTCUSDT,ETHUSDT,BNBUSDT,MATICUSDT,SANDUSDT,LUNAUSDT,SHIBUSDT,SOLUSDT,XRPUSDT,GALAUSDT,AVAXUSDT,DOTUSDT,DOGEUSDT,MANAUSDT,ADAUSDT,FTMUSDT,NEARUSDT,TRXUSDT,FILUSDT,LINKUSDT,ATOMUSDT,LTCUSDT,CRVUSDT,EOSUSDT,EGLDUSDT,BTTUSDT,GXSUSDT,VETUSDT,SUSHIUSDT,AXSUSDT
2022-02,BTCUSDT,ETHUSDT,FTMUSDT,BNBUSDT,LUNAUSDT,SOLUSDT,ADAUSDT,ATOMUSDT,DOTUSDT,LINKUSDT,MATICUSDT,SANDUSDT,SHIBUSDT,XRPUSDT,NEARUSDT,DOGEUSDT,GALAUSDT,AVAXUSDT,ROSEUSDT,ICPUSDT,MANAUSDT,TRXUSDT,CRVUSDT,ONEUSDT,FILUSDT,THETAUSDT,LTCUSDT,ALGOUSDT,VETUSDT,AXSUSDT
2022-03,BTCUSDT,ETHUSDT,SHIBUSDT,XRPUSDT,LUNAUSDT,BNBUSDT,SOLUSDT,GALAUSDT,AVAXUSDT,SANDUSDT,FTMUSDT,SLPUSDT,ADAUSDT,DOTUSDT,MANAUSDT,MATICUSDT,TRXUSDT,ATOMUSDT,DOGEUSDT,NEARUSDT,LINKUSDT,AXSUSDT,FILUSDT,ROSEUSDT,PEOPLEUSDT,THETAUSDT,LTCUSDT,ICPUSDT,VETUSDT,ETCUSDT
2022-04,BTCUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,BNBUSDT,AVAXUSDT,FTMUSDT,SHIBUSDT,GALAUSDT,ADAUSDT,WAVESUSDT,DOTUSDT,SANDUSDT,NEARUSDT,ETCUSDT,ATOMUSDT,TRXUSDT,RUNEUSDT,JASMYUSDT,VETUSDT,MATICUSDT,DOGEUSDT,MANAUSDT,SLPUSDT,LRCUSDT,LINKUSDT,FILUSDT,AXSUSDT,ZILUSDT
2022-05,BTCUSDT,GMTUSDT,ETHUSDT,APEUSDT,LUNAUSDT,SOLUSDT,DOGEUSDT,NEARUSDT,BNBUSDT,ZILUSDT,SHIBUSDT,XRPUSDT,AVAXUSDT,FTMUSDT,ADAUSDT,TRXUSDT,WAVESUSDT,JASMYUSDT,DOTUSDT,GALAUSDT,SLPUSDT,SANDUSDT,DARUSDT,FILUSDT,ETCUSDT,MATICUSDT,RUNEUSDT,ATOMUSDT,AXSUSDT,VETUSDT
2022-06,BTCUSDT,ETHUSDT,GMTUSDT,BNBUSDT,APEUSDT,SOLUSDT,TRXUSDT,XRPUSDT,ADAUSDT,AVAXUSDT,NEARUSDT,FTMUSDT,SHIBUSDT,DOTUSDT,GALAUSDT,DOGEUSDT,SANDUSDT,ZILUSDT,MATICUSDT,AXSUSDT,ATOMUSDT,MANAUSDT,WAVESUSDT,DARUSDT,JASMYUSDT,ENSUSDT,ALGOUSDT,RUNEUSDT,LINKUSDT,ANCUSDT
2022-07,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,ADAUSDT,TRXUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,DOGEUSDT,SHIBUSDT,APEUSDT,GALAUSDT,LINKUSDT,MATICUSDT,NEARUSDT,WAVESUSDT,DOTUSDT,SANDUSDT,FTMUSDT,LTCUSDT,UNFIUSDT,MANAUSDT,ATOMUSDT,RUNEUSDT,PEOPLEUSDT,EGLDUSDT,BELUSDT,ZILUSDT,ANCUSDT
2022-08,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,MATICUSDT,ADAUSDT,XRPUSDT,GMTUSDT,AVAXUSDT,APEUSDT,ETCUSDT,SHIBUSDT,DOGEUSDT,SANDUSDT,DOTUSDT,RUNEUSDT,NEARUSDT,TRXUSDT,ATOMUSDT,FTMUSDT,GALAUSDT,LINKUSDT,BURGERUSDT,FILUSDT,OPUSDT,WAVESUSDT,LTCUSDT,MANAUSDT,UNIUSDT,UNFIUSDT
