,ret
2021-10-31,-0.0021387211107771155
2021-11-01,0.013438350052359476
2021-11-02,0.006188245926587628
2021-11-03,0.008858819834426098
2021-11-04,-0.005139437410131981
2021-11-05,-0.0015464089613975206
2021-11-06,0.017007691256657423
2021-11-07,0.0008410414292225697
2021-11-08,0.004941234891251759
2021-11-09,-0.009564421582015942
2021-11-10,-0.016146263085978857
2021-11-11,0.0037013829518314
2021-11-12,-0.0017253274119253396
2021-11-13,0.0009374579289035998
2021-11-14,-0.00044385699523195475
2021-11-15,-0.0031503794749895026
2021-11-16,-0.00714994169879554
2021-11-17,-0.00020127648275192542
2021-11-18,0.0066885235444273
2021-11-19,-0.005698055116953511
2021-11-20,-0.004684109267666914
2021-11-21,0.000642594368029539
2021-11-22,-0.0006291959096442959
2021-11-23,-0.0015793953795655625
2021-11-24,0.00872533099686995
2021-11-25,-0.004591989629428289
2021-11-26,0.02207447644667149
2021-11-27,-0.0032414424083233914
2021-11-28,-0.006402058604598513
2021-11-29,-0.007861534768094303
2021-11-30,0.0006421163639315858
2021-12-01,-0.001707739993196374
2021-12-02,-0.00029655068231980105
2021-12-03,-0.001157668367528391
2021-12-04,0.016201846184902433
2021-12-05,0.0
2021-12-06,-0.007983659606181307
2021-12-07,-0.0006385870705391243
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,-0.0004776009294204539
2021-12-12,-0.0001385116877207374
2021-12-13,0.0008145856701989141
2021-12-14,-0.002317982113705779
2021-12-15,-0.004400360456781253
2021-12-16,0.00022274683552142422
2021-12-17,-6.700562388856352e-05
2021-12-18,-0.0038108458083922774
2021-12-19,0.002005582135904558
2021-12-20,0.0015249927910995042
2021-12-21,-0.011227699089276255
2021-12-22,-0.005893616631164049
2021-12-23,0.0035009273236554974
2021-12-24,-0.030356552326516073
2021-12-25,0.011144816787626162
2021-12-26,0.0003921157409373008
2021-12-27,-0.0035667664386781757
2021-12-28,-0.008240078148697517
2021-12-29,-1.9231435802004973e-06
2021-12-30,-0.000884227172647097
2021-12-31,0.0002629806162732092
2022-01-01,-0.0012012541531903796
2022-01-02,-0.0006018459224384285
2022-01-03,0.0007928674419727408
2022-01-04,-0.00022641649935116739
2022-01-05,0.01447806425829674
2022-01-06,0.003829543682665768
2022-01-07,0.019756945972314414
2022-01-08,0.0011328944094355527
2022-01-09,-0.007127284376699312
2022-01-10,0.006861570255123396
2022-01-11,-0.01785675169612021
2022-01-12,-0.004797664755349232
2022-01-13,0.0005484553071374338
2022-01-14,-0.00022551064978570522
2022-01-15,-1.598232013227813e-05
2022-01-16,3.6553110257926565e-07
2022-01-17,0.00037926953246199486
2022-01-18,-0.00014222272178317124
2022-01-19,0.0005977970185930555
2022-01-20,0.0019023657772252833
2022-01-21,0.04262175122028815
2022-01-22,0.012787326699549162
2022-01-23,-0.007178673680738017
2022-01-24,-0.0001309173605090442
2022-01-25,-8.247595990852663e-05
2022-01-26,-5.3107650185160084e-05
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.0
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.00020779482084367398
2022-02-08,0.0002724610524148701
2022-02-09,0.00034613192854978823
2022-02-10,-0.0042686547900092605
2022-02-11,-0.0037194069878620506
2022-02-12,-0.00047598323376543217
2022-02-13,6.579758542217003e-05
2022-02-14,-0.004626334486614312
2022-02-15,-0.002922926761896416
2022-02-16,-0.0003147296578642678
2022-02-17,-0.0010555510842489872
2022-02-18,0.0011636235201992525
2022-02-19,-0.0030414658614439025
2022-02-20,0.011797652240678
2022-02-21,0.017117098504014043
2022-02-22,-0.011397407230709618
2022-02-23,-0.006844916029566307
2022-02-24,-0.011654817385505147
2022-02-25,-0.000445985918319329
2022-02-26,0.002700745719311447
2022-02-27,-0.004658623674283516
2022-02-28,0.0075476116395395655
2022-03-01,9.496285422289148e-05
2022-03-02,5.890560079012511e-05
2022-03-03,-0.0016383550384345036
2022-03-04,-0.003490600568706641
2022-03-05,-3.6351525260223606e-05
2022-03-06,0.0
2022-03-07,2.3556079828590054e-05
2022-03-08,-0.00025542733370794617
2022-03-09,-0.0017003127770877798
2022-03-10,-0.00033865536499438236
2022-03-11,-0.0032159191557356577
2022-03-12,-0.0017981389228056842
2022-03-13,-3.5118173866347275e-05
2022-03-14,-0.003563846696190851
2022-03-15,-0.0013441283093452768
2022-03-16,-0.010891718315830136
2022-03-17,0.001377048953309645
2022-03-18,-0.0003384637136050575
2022-03-19,-0.004857057277466728
2022-03-20,-0.004091350126411109
2022-03-21,0.0009748861707383516
2022-03-22,-0.002227391519718756
2022-03-23,0.0016250754753972451
2022-03-24,0.010117162903429601
2022-03-25,-0.008727874472441704
2022-03-26,0.0076503145699618165
2022-03-27,0.024573999306561137
2022-03-28,0.0005156542728768414
2022-03-29,0.010230840210471614
2022-03-30,0.002858231024564193
2022-03-31,-0.01478658330373957
2022-04-01,0.012842425577569642
2022-04-02,-0.0034450509158009813
2022-04-03,0.006560215517484511
2022-04-04,-0.004195265208025002
2022-04-05,-0.005808055085313199
2022-04-06,-0.01568879301523821
2022-04-07,-0.0019176251826705174
2022-04-08,0.003368034143990952
2022-04-09,-0.004300538690281593
2022-04-10,0.004032739110568114
2022-04-11,0.017041503692774657
2022-04-12,-0.017261951300523916
2022-04-13,-0.0028580782127432536
2022-04-14,0.00028843163063810897
2022-04-15,-0.0004535791392273981
2022-04-16,-0.0001565977468861441
2022-04-17,0.0013039040137895084
2022-04-18,-0.005964141733027743
2022-04-19,-0.0034241247635119466
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.00029519994130046575
2022-04-25,-0.009623118864167576
2022-04-26,0.01727953491132967
2022-04-27,-0.008211240266478485
2022-04-28,0.00403031857312722
2022-04-29,0.02461172999752175
2022-04-30,0.035376585231409984
2022-05-01,-0.002422437291332146
2022-05-02,-6.26021377262233e-05
2022-05-03,0.0007285459623359797
2022-05-04,-0.0018117680156255105
2022-05-05,0.0025008905362347675
2022-05-06,0.0013606930008107677
2022-05-07,0.0029732756243794844
2022-05-08,0.0054796225042211795
2022-05-09,0.058452288551785456
2022-05-10,-0.01325964114822704
2022-05-11,0.0015866670786379947
2022-05-12,-0.0003988902616897493
2022-05-13,8.554855243206208e-05
2022-05-14,-0.00017779709823763658
2022-05-15,-0.0002721909742827898
2022-05-16,-1.076329823971194e-05
2022-05-17,-2.7517593417595995e-06
2022-05-18,8.877405939666125e-06
2022-05-19,-0.0005153750820632411
2022-05-20,0.0010531502504487074
2022-05-21,-0.0010135570838027226
2022-05-22,-0.000507079526958931
2022-05-23,0.0003927048542177163
2022-05-24,-4.390102173823242e-05
2022-05-25,0.0002159308373084194
2022-05-26,0.004281016676834694
2022-05-27,0.005142656546610538
2022-05-28,-0.007413989830652042
2022-05-29,-0.002864332074181567
2022-05-30,-0.004445513436627426
2022-05-31,-2.9626824556658948e-05
2022-06-01,-0.00675107564831829
2022-06-02,-0.0008941752496827932
2022-06-03,0.0016489726618710665
2022-06-04,-0.0011622925868364953
2022-06-05,4.4427054601521125e-07
2022-06-06,-0.0009062775740745359
2022-06-07,-0.0009546663824641023
2022-06-08,0.0007010231152460973
2022-06-09,-0.0010927910465906405
2022-06-10,0.005210040845814381
2022-06-11,0.018304814318101086
2022-06-12,0.028226242210730352
2022-06-13,0.04507878685700757
2022-06-14,-0.010712518950647705
2022-06-15,-0.00703283072824057
2022-06-16,-0.00012248827426896382
2022-06-17,0.0
2022-06-18,-0.0006801332485015686
2022-06-19,-0.010597924143523762
2022-06-20,7.986666131524132e-05
2022-06-21,-0.00024514307144494113
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,-0.005421882716473272
2022-06-27,-6.344952458886304e-06
2022-06-28,0.0
2022-06-29,0.0
2022-06-30,-0.0002416095275293181
2022-07-01,0.0001687091315373917
2022-07-02,-0.00011016045136865997
2022-07-03,-4.87748449386999e-06
2022-07-04,-0.00020404666834048505
2022-07-05,0.00015317255977911697
2022-07-06,-0.00013734927165348203
2022-07-07,-0.0012987748451973047
2022-07-08,-0.0012463353601278265
2022-07-09,0.0008415060893273606
2022-07-10,-0.010794923995390235
2022-07-11,-0.010749000961774608
2022-07-12,0.005124313863668821
2022-07-13,-0.013647251632837405
2022-07-14,-0.004574313052900059
2022-07-15,-0.003379835695753874
2022-07-16,0.006234430313323844
2022-07-17,-0.004824568034573094
2022-07-18,0.03952868328158348
2022-07-19,0.00872408419497803
2022-07-20,-0.01998501115769818
2022-07-21,0.0009306893246683021
2022-07-22,-0.005760372538777675
2022-07-23,-0.002850657035759958
2022-07-24,0.0014041937256773838
2022-07-25,-0.009057088304574183
2022-07-26,-4.6572583582280333e-05
2022-07-27,0.0
2022-07-28,0.0040817562682046015
2022-07-29,0.0026818361644155944
2022-07-30,-0.009496704253377657
2022-07-31,-0.007230055576108716
2022-08-01,-0.0050380579538985455
2022-08-02,-0.004303744327611839
2022-08-03,0.00184813968919785
2022-08-04,0.005888886405764255
2022-08-05,0.002918650324893837
2022-08-06,-0.001266657179064044
2022-08-07,0.005778761681496333
2022-08-08,0.0034193763195765675
2022-08-09,-0.00949917161084515
2022-08-10,0.010033595957640326
2022-08-11,-0.0029562914785641607
2022-08-12,0.007094445150166646
2022-08-13,0.001907528363931704
2022-08-14,-0.008005026742740678
2022-08-15,-0.011025197471649466
2022-08-16,-0.0010652607662235932
2022-08-17,-0.011428315303360317
2022-08-18,-0.0005496259447313298
2022-08-19,0.0012920102394682264
2022-08-20,-0.0010498233692237912
2022-08-21,-0.0012772236263115862
2022-08-22,-0.0007960644872937753
2022-08-23,-0.0028440501181835266
2022-08-24,-0.0010351498147342143
2022-08-25,-0.0008267044567624385
2022-08-26,0.0110489761927444
2022-08-27,0.0033168424819901587
2022-08-28,0.008169159390980164
2022-08-29,-0.020679073275040084
2022-08-30,0.0023283195380345077
2022-08-31,-0.0015480430218593898
2022-09-01,-0.0027423614155931155
2022-09-02,0.00034396706715294595
2022-09-03,0.0009003690429538792
2022-09-04,-0.0017746123277503582
2022-09-05,0.00046951396537173504
2022-09-06,-0.0015061037994674562
2022-09-07,-0.009548821813744739
2022-09-08,-0.0008187720257980042
2022-09-09,-0.008266398778779204
2022-09-10,0.002071299804791866
2022-09-11,-0.002249726821733153
2022-09-12,0.0028320443522288456
2022-09-13,-0.029290422818428214
2022-09-14,0.0006939630656323708
2022-09-15,-0.0012427876906751167
2022-09-16,-0.0004229528226446459
2022-09-17,0.0007521259252249687
2022-09-18,-0.0020717432284814885
2022-09-19,-0.008358376861648656
2022-09-20,0.004218654793929492
2022-09-21,0.00045243912533358917
2022-09-22,-0.0016182538956948682
2022-09-23,-0.004799066455360602
2022-09-24,0.0011036158323287444
2022-09-25,0.0006462275381960797
2022-09-26,-0.002118701311915981
2022-09-27,-0.003217350851036327
2022-09-28,-0.000828867299836237
2022-09-29,-0.00035388909459629334
2022-09-30,0.0005509191597888783
2022-10-01,0.0007622631459743293
2022-10-02,0.001746556787569458
2022-10-03,-0.0014445792362384356
2022-10-04,0.0005780138568947204
2022-10-05,-0.00041533613566321946
2022-10-06,-0.0021455519302776864
2022-10-07,-0.0019393898297076946
2022-10-08,-0.0018335287174561204
2022-10-09,-0.000512125683730402
2022-10-10,0.005982973021064815
2022-10-11,0.002300288161766052
2022-10-12,0.0020660206681181854
2022-10-13,-0.005003621368127871
2022-10-14,-0.003263878252986811
2022-10-15,0.0009847879248684568
2022-10-16,-0.0020728742650626087
2022-10-17,-0.001865556809373279
2022-10-18,0.0022574483328938414
2022-10-19,0.003333440357920155
2022-10-20,0.0033910687579447726
2022-10-21,-0.00555897097034897
2022-10-22,-0.0037001681771523637
2022-10-23,-0.006593116614431631
2022-10-24,0.0032082626812084424
2022-10-25,-0.0021665948991436055
2022-10-26,0.0064181086364514025
2022-10-27,-0.00884650203933172
2022-10-28,0.009425958973457396
2022-10-29,0.0072315782535146275
2022-10-30,0.0037821006334006705
2022-10-31,0.0013325352806133858
2022-11-01,-0.005075612332223259
2022-11-02,-0.01524820077260154
2022-11-03,0.0010180969396746016
2022-11-04,0.04069826157397387
2022-11-05,0.0006823205893947341
