,g_sep,g_net,t_sep,t_net,fund_delta_b3
2022-03-02,0.46418531818328684,0.46418531818328673,0.2669182082073801,0.2669182082073801,2.9240100739500114e-05
2022-03-03,0.4611990155616733,0.4611990155616733,0.012454757228441636,0.012099051256044845,-9.090710572919614e-06
2022-03-04,0.42947307202366636,0.4294730720236663,0.03254247941035279,0.03254247941035279,0.0
2022-03-05,0.39792657657584174,0.3979265765758418,0.3189214993038225,0.3189214993038225,0.0
2022-03-06,0.37474634340828544,0.37474634340828544,0.023578625130709754,0.023578625130709754,0.0
2022-03-07,1.4995672572732146,1.4995672572732146,1.2729709867137766,1.2729709867137766,5.624769222964299e-06
2022-03-08,0.4384537074001682,0.43845370740016815,1.326428335494611,1.3264283354946107,1.5378672851242236e-05
2022-03-09,0.45666704680843856,0.4566670468084388,0.05023400070663813,0.0494623218905276,4.2035186670051825e-05
2022-03-10,0.4950591120374934,0.4950591120374934,0.061466422880048,0.06119900677336022,-6.425260634027384e-06
2022-03-11,0.5591152888710486,0.5591152888710487,0.1757027993656167,0.15782610498071362,9.106246098194043e-06
2022-03-12,0.5574871539986561,0.5574871539986562,0.26509775633818944,0.26509775633818944,8.694755483777302e-06
2022-03-13,0.5846766162164266,0.5846766162164264,0.05146406610916895,0.05041492125453809,3.670378391966241e-05
2022-03-14,1.3975354612978548,1.3975354612978552,0.9734074131314046,0.9734074131314046,6.224581889815683e-05
2022-03-15,0.8217993084403997,0.8217993084403995,0.6123498821490073,0.6123474455088324,6.269299543393873e-05
2022-03-16,0.46067238836495644,0.46067238836495644,0.3615729276297903,0.36156006708416083,1.5354524983538662e-05
2022-03-17,0.47357591175816793,0.47357591175816793,0.19920749195698076,0.19920749195698073,1.1039635267222656e-05
2022-03-18,0.4759769573716409,0.47597695737164103,0.0025532344923495658,0.0025532344923495684,1.1041190464234514e-05
2022-03-19,0.4655201134618284,0.4655201134618284,0.21592350499129848,0.2019562553944081,-2.9232001906056355e-05
2022-03-20,0.4341509725482846,0.4341509725482846,0.15134284795155087,0.15130296729084908,-2.91901272123195e-05
2022-03-21,0.40386221865790545,0.40386221865790556,0.07217600480271001,0.068097164185658,-3.073658943365985e-05
2022-03-22,0.7166985793792667,0.6951907159644188,0.4784429542914275,0.47610174021104973,-4.519309046435423e-05
2022-03-23,0.6958726760372449,0.6674666664941338,0.22157279091880314,0.17957821326854856,-4.768992588676721e-05
2022-03-24,0.7789288810091746,0.7161418795452763,0.1195293030374728,0.11952930303747283,-8.36590579300627e-05
2022-03-25,0.8779335922648687,0.8072982171145581,0.09913456625115724,0.0912861925647448,-0.00011597612220506462
2022-03-26,0.9280626153914172,0.856724033186177,0.2190685187523254,0.21647545540065358,-0.0001183671143078687
2022-03-27,1.7150786239516755,1.6440213712041825,0.8739820341998777,0.8537484460097055,-9.186145320156655e-05
2022-03-28,1.6120000170145328,1.5488942807634951,0.5936692196656508,0.5569338277736299,-8.829800816764653e-05
2022-03-29,1.1653752474708974,1.0698220736766144,0.7842354543961384,0.7825400029683068,-0.00010818697553257399
2022-03-30,1.5113030361579303,1.4116526391716055,0.35676092564846906,0.3523069666453484,-0.00011776349857507581
2022-03-31,1.12382258651797,1.0546414884561857,0.4389696472699456,0.4278557391914952,-4.992543612469968e-05
2022-04-01,0.7115045194977379,0.6541676137947233,0.6170938024905961,0.5955908661495825,-6.781275995735493e-05
2022-04-02,0.6228726328210299,0.5792896839382031,0.44115375211236146,0.41249951350495984,-6.763990794034377e-05
2022-04-03,0.6360152230488801,0.5923404531342809,0.04798353938009588,0.04551474666975776,-5.323954328756207e-05
2022-04-04,0.61593495478988,0.5951457035149165,0.2724711904042922,0.26773747528872505,-1.639176923505491e-05
2022-04-05,0.5669691640938159,0.5485228545692208,0.051408740032711245,0.0495765280302259,-1.505644076828423e-05
2022-04-06,0.37901842434688904,0.379018424346889,0.2681397099345975,0.23411178978970587,1.618668078519298e-05
2022-04-07,0.35790350385632064,0.3579035038563207,0.13253184065566692,0.13253184065566692,2.3582397831375487e-05
2022-04-08,0.3434200747439513,0.3434200747439513,0.05193952349921709,0.047095706588818224,4.411470539550527e-05
2022-04-09,0.3033318665451512,0.30333186654515126,0.16156490861735703,0.16156490861735703,4.697714544694689e-05
2022-04-10,0.32717011527887474,0.32717011527887474,0.10227052621922773,0.10186999494127222,4.8251756848815915e-05
2022-04-11,0.38511622336307505,0.38511622336307505,0.11875553877718496,0.11692885616440554,6.520587655135152e-05
2022-04-12,0.31040899306532,0.31040899306532,0.07816933031286563,0.0781661618784247,2.040733540730322e-05
2022-04-13,0.43866756391148237,0.4354721792403352,0.28652489067578585,0.28652489067578585,2.0750675973186307e-05
2022-04-14,0.23133503994153642,0.23133503994153645,0.20839027275728936,0.20832595081337055,1.4692139180888092e-05
2022-04-15,0.2255577215879013,0.22555772158790133,0.0057835540786322776,0.005777318353635121,1.4695718316194682e-05
2022-04-16,0.38740023015523006,0.3874002301552302,0.38388430290483355,0.3838334139065665,1.4724927206980835e-05
2022-04-17,0.45268341187375927,0.45268341187375943,0.3699354241416774,0.36988017303117604,2.558610605320287e-05
2022-04-18,0.4889555632065714,0.48895556320657146,0.047057451862031474,0.04666470090884963,3.11210767151452e-05
2022-04-19,0.2536447014880418,0.25364470148804175,0.36373110202325143,0.36373110202325143,0.0
2022-04-20,0.28253261875313385,0.28253261875313385,0.035393551422132505,0.035393551422132505,0.0
2022-04-21,0.2743461113427119,0.2743461113427119,0.04512045125464054,0.04512045125464054,0.0
2022-04-22,0.2705619422472813,0.27056194224728136,0.10547561171865079,0.10547561171865079,0.0
2022-04-23,0.31575341485759184,0.31575341485759173,0.15200072715909757,0.15200072715909757,0.0
2022-04-24,0.33976756367731564,0.33976756367731564,0.0300488050951597,0.029915303013238127,1.369040297132295e-05
2022-04-25,0.475089146279823,0.47371665640231486,0.22794356554817635,0.20606120960337196,9.083957738664444e-05
2022-04-26,0.6369504195700615,0.5719710430539894,0.32602164797703703,0.3231968758488406,0.00013870979385613896
2022-04-27,0.6380228883675243,0.5728872744151005,0.010979425011886814,0.010472136766232577,7.421507756378029e-05
2022-04-28,0.44739744412848464,0.39616289523763754,0.2851898752720323,0.2836135577335235,0.00011127131913226567
2022-04-29,0.5099727775937624,0.45563591045708113,0.07209083029274628,0.07072015641320509,0.0001536400251434545
2022-04-30,0.4998741964284024,0.4513870586245119,0.1174502248591863,0.11225206683728346,5.696485168140916e-05
2022-05-01,0.2941154634441273,0.27508542859833723,0.37299195256389045,0.31260735708752085,1.3914422776190361e-05
2022-05-02,0.3084172303512012,0.2894108309624105,0.01636934583458028,0.01636934583458028,1.9676281707449512e-05
2022-05-03,0.30551072133446083,0.2871639949883866,0.004765033663885652,0.004683415159121465,1.9978322112667486e-05
2022-05-04,0.26649525912469135,0.26372530932615756,0.19399883603556514,0.19393840243931995,1.7339024727173686e-05
2022-05-05,0.2900062278376549,0.289724464537298,0.03273611200307784,0.03273611200307784,3.339230085634034e-05
2022-05-06,0.3240418980737989,0.263733499407843,0.10631766701170009,0.10151193780080359,-1.5828393949235157e-07
2022-05-07,0.35241859077077814,0.28033090942292027,0.20003336090116516,0.19492873983464656,4.421595618711886e-05
2022-05-08,0.36069430668863334,0.28824205801189273,0.008624347001904085,0.00825977967302146,5.31080968290262e-05
2022-05-09,0.4529072145219942,0.3435482833081455,0.11429877929389919,0.11108870896302511,0.00010381942951639339
2022-05-10,0.2100870065829265,0.16858771104582632,0.2916044791766833,0.2459519821458026,2.32560568256483e-05
2022-05-11,0.2116929184101039,0.20205023004275005,0.13597275599658634,0.1205331629057371,8.932191796116792e-06
2022-05-12,0.1641468937965435,0.16179362383264986,0.05272872229528929,0.04732719702827821,-8.556365729993512e-06
2022-05-13,0.1790952423010604,0.16843454737637484,0.12818023535941397,0.12710220484116397,5.251052230111103e-06
2022-05-14,0.15812751134983452,0.14878186907546875,0.055072094257868534,0.054930156543646164,6.388887782963228e-06
2022-05-15,0.15759760669406067,0.1482676577125684,0.006607786652602288,0.006607786652602289,2.5561504058882887e-06
2022-05-16,0.17074890483066635,0.17074890483066635,0.12273124678535785,0.12273124678535785,2.954145202320788e-06
2022-05-17,0.1686081878267086,0.16860818782670864,0.0025305226013869466,0.0025305226013869466,2.9536120128421743e-06
2022-05-18,0.1753859430269967,0.16530098789377332,0.00833307525700486,0.008092212230930424,-2.748816044782557e-06
2022-05-19,0.16297931995287324,0.1497648722980705,0.0732119447264437,0.0732119447264437,2.3205586452284495e-06
2022-05-20,0.17587290036146327,0.16045272368404304,0.01289358040859002,0.012605629151641401,1.3669188588173981e-05
2022-05-21,0.20314264182962746,0.1943235422538834,0.10852185970537363,0.10852185970537362,3.16682627228872e-06
2022-05-22,0.1745840527055624,0.1726121814925548,0.10106732995192748,0.0893456286503233,1.1113854533275428e-05
2022-05-23,0.16867721844738115,0.16616658535265386,0.00736702871442875,0.007367028714428751,1.1446953444619858e-05
2022-05-24,0.16798507352449168,0.16564972807540213,0.0023389907223202353,0.0023389907223202357,5.832989223772452e-06
2022-05-25,0.17446713022538818,0.17199765535245157,0.06533314875158179,0.06521264642484162,1.0292398025396048e-05
2022-05-26,0.2140850417969446,0.2140850417969446,0.1124688875753669,0.11211174219539763,-4.529564418460649e-06
2022-05-27,0.23330941374353892,0.23330941374353897,0.034606268964527,0.03460626896452701,6.911069353593752e-06
2022-05-28,0.217470665499921,0.21747066549992103,0.09717056516838099,0.09679617903323959,-7.777298065924336e-06
2022-05-29,0.18916123824347789,0.18916123824347789,0.030124925572101335,0.029719371705322035,1.8240995201564277e-05
2022-05-30,0.1707742097970035,0.17077420979700353,0.0814717479018702,0.0806132804386347,-3.9201533347115e-06
2022-05-31,0.19958612283803978,0.19958612283803978,0.11039592084616873,0.11039592084616873,-8.471096067849679e-06
2022-06-01,0.25265984913304007,0.25265984913304,0.07751985272544079,0.0774148819253947,-2.166805274663357e-06
2022-06-02,0.24278646787036612,0.24278646787036615,0.025421484159806575,0.025421484159806582,-9.605459992905332e-07
2022-06-03,0.20622386300296253,0.20622386300296253,0.1082975395547325,0.1081968950055734,2.1641971067957075e-05
2022-06-04,0.1982424898121253,0.19824248981212525,0.06682793084572866,0.062400100342133294,3.879778827595282e-06
2022-06-05,0.15965112457111333,0.15616620053593294,0.07323415998537937,0.07307641571480841,-2.078580053899972e-06
2022-06-06,0.1668899754301561,0.16688997543015607,0.07349663693594699,0.07342601544948973,-1.0564335109988437e-06
2022-06-07,0.36905760301976354,0.3690576030197636,0.20633696284605002,0.20633696284605005,-2.9333418991063966e-05
2022-06-08,0.37683139080903894,0.376831390809039,0.055338187492230705,0.05448573664920077,7.760834686655636e-06
2022-06-09,0.4425123589152745,0.4328820564971889,0.12883150524738995,0.12772682020713977,6.14015029698809e-06
2022-06-10,0.45722042526787554,0.43241673384989965,0.45390927258099595,0.45382044003728966,2.6508364961801676e-05
2022-06-11,0.5792528279467903,0.5316607828988228,0.18020545082171796,0.16389974835919235,-5.782624389773557e-05
2022-06-12,0.44822902623647587,0.40489909357794757,0.3429514445161786,0.3276689789186677,-4.8919681847968356e-05
2022-06-13,0.4269747271482899,0.3850597151218482,0.04858811196785406,0.045450968861904445,-4.183338035256766e-06
2022-06-14,0.2776503027537675,0.24716374540243463,0.1493244243945224,0.14216614449035977,1.344144382839718e-05
2022-06-15,0.18556562646931696,0.18556562646931696,0.22236418792741938,0.1944571343413195,0.0
2022-06-16,0.1773647048715397,0.1773647048715397,0.008540701653489271,0.008540701653489271,0.0
2022-06-17,0.17902809408361517,0.1790280940836152,0.004709963515405417,0.004709963515405417,0.0
2022-06-18,0.3037358321739557,0.26860247038307766,0.2440996266910391,0.22028930661670432,-2.5789672903312125e-05
2022-06-19,0.17944117269548723,0.1776143115916412,0.1243418597156963,0.12234247880492556,2.121792911269075e-06
2022-06-20,0.1585565631452468,0.15674485691216575,0.056991020769706774,0.0569758658989419,3.52936848466577e-06
2022-06-21,0.1782905750952179,0.17829057509521792,0.10379648180987454,0.10379648180987454,0.0
2022-06-22,0.17447477262808114,0.17447477262808114,0.0038160296709047114,0.0038160296709047114,0.0
2022-06-23,0.18090636000683183,0.18090636000683188,0.008282456219077028,0.008282456219077028,0.0
2022-06-24,0.17709390361910604,0.17709390361910615,0.07111868702117954,0.07111868702117954,0.0
2022-06-25,0.19391110208074025,0.19391110208074022,0.14891952400274083,0.14891952400274083,0.0
2022-06-26,0.1651011324443583,0.1651011324443583,0.02886031191386851,0.02886031191386851,0.0
2022-06-27,0.1682584216086686,0.1682584216086686,0.044705201959265896,0.044705201959265896,0.0
2022-06-28,0.16515469397885985,0.16515469397885985,0.0031436569640756616,0.0031436569640756616,0.0
2022-06-29,0.15905280757525692,0.15905280757525683,0.006101886403602938,0.006101886403602938,0.0
2022-06-30,0.12725902109172682,0.12725902109172682,0.10315423978606082,0.10315423978606081,-2.2953048324775873e-06
2022-07-01,0.128301942789436,0.128301942789436,0.0031867156768241,0.003161069129892353,-3.456097071533541e-06
2022-07-02,0.16342151540738672,0.1634215154073867,0.09643279593514938,0.09643279593514936,-4.646590555598699e-07
2022-07-03,0.14081933330149787,0.14081933330149787,0.09373587171614034,0.09373587171614035,3.788591616690826e-07
2022-07-04,0.14411838723609494,0.1441183872360949,0.0033722492264723846,0.0033722492264723855,2.2961140580387525e-06
2022-07-05,0.14953169168706693,0.14953169168706695,0.06305396164576879,0.06305396164576879,8.096788132456685e-06
2022-07-06,0.1459604809322187,0.14596048093221867,0.04775521273218238,0.047679243716030155,1.1508056825663572e-05
2022-07-07,0.21421383270855326,0.2142138327085532,0.07139794206302813,0.0710368022106049,9.904326760344418e-06
2022-07-08,0.24337012443135814,0.24337012443135822,0.029161600000245175,0.029156291722804917,3.318795140100759e-05
2022-07-09,0.2933748462885264,0.2933748462885264,0.13975519474491366,0.1298845824899059,2.806454258064366e-05
2022-07-10,0.32680370808534664,0.32680370808534676,0.07373612384876974,0.07057995232245504,5.6569179939999987e-05
2022-07-11,0.2578780327637346,0.25787803276373467,0.167219675321612,0.16633775620623975,-1.5290832938641295e-05
2022-07-12,0.25933042130089284,0.2593304213008929,0.1526101415775155,0.1522181689812409,-2.27702575309672e-05
2022-07-13,0.30486151304931564,0.3048615130493155,0.04561016887468021,0.04561016887468014,-8.099053967890406e-05
2022-07-14,0.25517696497696646,0.2551769649769665,0.07590059824196818,0.0717423989432462,-3.316716016361842e-05
2022-07-15,0.19362371583845087,0.19362371583845076,0.1467518467853827,0.14494881425285752,1.196736727800582e-05
2022-07-16,0.305643868985793,0.3056438689857929,0.23679949772619874,0.22917796789466505,-2.557299600067431e-05
2022-07-17,0.3073123039969516,0.3073123039969516,0.0020768027951036947,0.0020747588053962084,-3.7466475252216673e-05
2022-07-18,0.4275974691598294,0.3990077989343257,0.2641009799899225,0.2561782484743157,-7.344742027435246e-05
2022-07-19,0.43341801339372604,0.40660529613841884,0.07098758885010731,0.06830582513101277,-9.802983009545383e-05
2022-07-20,0.4019497254170732,0.35970042408221153,0.13086888421956178,0.12474571604565077,-5.637691866518064e-05
2022-07-21,0.3232554680376973,0.31727925976586185,0.12405604644840873,0.1168990611259746,-2.3276004867197498e-05
2022-07-22,0.315972416054061,0.3106491402325605,0.011889865365107805,0.010791306704600047,-3.16793154003845e-05
2022-07-23,0.25172750468835353,0.2468695903959607,0.11176848466212316,0.11130312313301549,1.2523671257699597e-05
2022-07-24,0.2673430833910908,0.2562610417889969,0.05773553972393451,0.05734977092651112,-3.929418242866261e-06
2022-07-25,0.17058359305210152,0.1705835930521015,0.13131013999820967,0.13131013999820967,0.0
2022-07-26,0.1739451214220587,0.17394512142205873,0.0038394975232075787,0.0038394975232075787,0.0
2022-07-27,0.18844547985114807,0.18844547985114804,0.0699780526771107,0.06486533642274289,9.662847134632566e-07
2022-07-28,0.2516208046814419,0.2516208046814419,0.08255504625722067,0.08094479599633336,-2.5366808939519026e-05
2022-07-29,0.2850996957299998,0.2554530689571689,0.05304100803016937,0.05280173883479972,-4.933310252828718e-05
