,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2022-12,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CHZUSDT,LTCUSDT,LINKUSDT,ADAUSDT,SHIBUSDT,MASKUSDT,TRXUSDT,ATOMUSDT
2023-01,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,LTCUSDT,MATICUSDT,SOLUSDT,LINKUSDT,ADAUSDT,TRXUSDT,SHIBUSDT,APEUSDT,TWTUSDT,APTUSDT
2023-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,APTUSDT,DOGEUSDT,BNBUSDT,MATICUSDT,GALAUSDT,LTCUSDT,SHIBUSDT,OPUSDT,AVAXUSDT,ADAUSDT,FTMUSDT
2023-03,BTCUSDT,ETHUSDT,MATICUSDT,BNBUSDT,APTUSDT,DOGEUSDT,XRPUSDT,SOLUSDT,FTMUSDT,OPUSDT,FILUSDT,SHIBUSDT,LDOUSDT,DYDXUSDT,LTCUSDT
2023-04,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,MATICUSDT,CFXUSDT,SOLUSDT,LTCUSDT,APTUSDT,FTMUSDT,DOGEUSDT,FILUSDT,OPUSDT,ADAUSDT,MAGICUSDT
2023-05,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CFXUSDT,LTCUSDT,ADAUSDT,APTUSDT,FTMUSDT,INJUSDT,GALAUSDT,SHIBUSDT
2023-06,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ARBUSDT,LTCUSDT,SOLUSDT,MATICUSDT,DOGEUSDT,CFXUSDT,RNDRUSDT,ADAUSDT,FTMUSDT,TRXUSDT,APTUSDT
2023-07,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,LTCUSDT,ARBUSDT,SOLUSDT,MATICUSDT,SUIUSDT,DOGEUSDT,ADAUSDT,LINAUSDT,PEPEUSDT,OPUSDT,APTUSDT
2023-08,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT,LTCUSDT,DOGEUSDT,ARBUSDT,MATICUSDT,BCHUSDT,ADAUSDT,LINKUSDT,OPUSDT,COMPUSDT,TRXUSDT
2023-09,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT,DOGEUSDT,SHIBUSDT,LTCUSDT,MATICUSDT,OPUSDT,ARBUSDT,LINKUSDT,SUIUSDT,YGGUSDT,BCHUSDT
2023-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,CYBERUSDT,SOLUSDT,WLDUSDT,LTCUSDT,ARBUSDT,LINKUSDT,DOGEUSDT,HIFIUSDT,MATICUSDT,TRBUSDT,TRXUSDT
2023-11,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT,LINKUSDT,DOGEUSDT,LOOMUSDT,MATICUSDT,ARBUSDT,TRBUSDT,LTCUSDT,TRXUSDT,RUNEUSDT,AVAXUSDT
2023-12,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,LINKUSDT,DOGEUSDT,AVAXUSDT,MATICUSDT,GASUSDT,RUNEUSDT,ARBUSDT,FTTUSDT,DYDXUSDT,ADAUSDT
2024-01,BTCUSDT,ETHUSDT,SOLUSDT,ORDIUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,TIAUSDT,ARBUSDT,LUNCUSDT,INJUSDT,OPUSDT
2024-02,BTCUSDT,ETHUSDT,SOLUSDT,ARBUSDT,BNBUSDT,ORDIUSDT,XRPUSDT,SEIUSDT,SUIUSDT,TIAUSDT,OPUSDT,AVAXUSDT,MATICUSDT,LINKUSDT,INJUSDT
2024-03,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,LINKUSDT,SUIUSDT,ORDIUSDT,ARBUSDT,WLDUSDT,FILUSDT,SEIUSDT,MATICUSDT,ADAUSDT
2024-04,BTCUSDT,ETHUSDT,SOLUSDT,SHIBUSDT,BNBUSDT,DOGEUSDT,PEPEUSDT,FLOKIUSDT,XRPUSDT,AVAXUSDT,WLDUSDT,ARBUSDT,NEARUSDT,FETUSDT,ORDIUSDT
2024-05,BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,PEPEUSDT,SHIBUSDT,WIFUSDT,BOMEUSDT,XRPUSDT,ORDIUSDT,NEARUSDT,WLDUSDT,BCHUSDT,FETUSDT
2024-06,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,DOGEUSDT,WIFUSDT,SHIBUSDT,BNBUSDT,BONKUSDT,BOMEUSDT,FLOKIUSDT,XRPUSDT,RNDRUSDT,ENAUSDT,ARBUSDT
2024-07,BTCUSDT,ETHUSDT,NOTUSDT,SOLUSDT,PEPEUSDT,BNBUSDT,WIFUSDT,PEOPLEUSDT,FLOKIUSDT,DOGEUSDT,SHIBUSDT,XRPUSDT,BONKUSDT,ORDIUSDT,BOMEUSDT
2024-08,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,XRPUSDT,WIFUSDT,BNBUSDT,DOGEUSDT,BONKUSDT,NOTUSDT,SHIBUSDT,FLOKIUSDT,1000SATSUSDT,BOMEUSDT,WLDUSDT
2024-09,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,PEPEUSDT,BNBUSDT,WIFUSDT,1000SATSUSDT,DOGEUSDT,FLOKIUSDT,NOTUSDT,BOMEUSDT,TRXUSDT,SHIBUSDT,SUIUSDT
2024-10,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,PEPEUSDT,SUIUSDT,WIFUSDT,XRPUSDT,DOGEUSDT,1000SATSUSDT,FETUSDT,SHIBUSDT,NEARUSDT,FLOKIUSDT,AVAXUSDT
2024-11,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,NEIROUSDT,DOGEUSDT,SUIUSDT,BNBUSDT,WIFUSDT,XRPUSDT,SHIBUSDT,WLDUSDT,BOMEUSDT,APTUSDT,FETUSDT
2024-12,BTCUSDT,ETHUSDT,DOGEUSDT,SOLUSDT,XRPUSDT,PEPEUSDT,BNBUSDT,SHIBUSDT,SUIUSDT,ADAUSDT,NEIROUSDT,WIFUSDT,BONKUSDT,FLOKIUSDT,AVAXUSDT
2025-01,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT,PEPEUSDT,BNBUSDT,SUIUSDT,TRXUSDT,SHIBUSDT,HBARUSDT,ADAUSDT,LINKUSDT,PNUTUSDT,AVAXUSDT
2025-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,SUIUSDT,PEPEUSDT,BNBUSDT,ADAUSDT,HBARUSDT,ENAUSDT,LINKUSDT,TRXUSDT,LTCUSDT,WIFUSDT
2025-03,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,SUIUSDT,LTCUSDT,PEPEUSDT,ADAUSDT,HBARUSDT,RUNEUSDT,OMUSDT,ENAUSDT,LINKUSDT
