,0
2021-08-29,1.8050255778104993
2021-08-30,1.7955298221092781
2021-08-31,1.8049458806249332
2021-09-01,1.8372285392001855
2021-09-02,1.8298490007863437
2021-09-03,1.8318781999439584
2021-09-04,1.8279957346527402
2021-09-05,1.8336465926755108
2021-09-06,1.8398262053663088
2021-09-07,1.826244637478815
2021-09-08,1.826244637478815
2021-09-09,1.82294341016711
2021-09-10,1.82294341016711
2021-09-11,1.82294341016711
2021-09-12,1.8228356734333702
2021-09-13,1.8157947561456453
2021-09-14,1.819825307047029
2021-09-15,1.8183475510738312
2021-09-16,1.8167589865512388
2021-09-17,1.813894258738033
2021-09-18,1.813894258738033
2021-09-19,1.813894258738033
2021-09-20,1.813894258738033
2021-09-21,1.813894258738033
2021-09-22,1.813894258738033
2021-09-23,1.813894258738033
2021-09-24,1.813894258738033
2021-09-25,1.813894258738033
2021-09-26,1.8078468948844875
2021-09-27,1.8119378151027246
2021-09-28,1.8131206667410247
2021-09-29,1.8073946876808087
2021-09-30,1.814520412532354
2021-10-01,1.8167270835993174
2021-10-02,1.813589525641539
2021-10-03,1.8085475294326805
2021-10-04,1.8022867401945746
2021-10-05,1.8107660477630543
2021-10-06,1.8200684318262748
2021-10-07,1.8326311509612274
2021-10-08,1.8318053603986926
2021-10-09,1.8407678759219688
2021-10-10,1.8193702320208003
2021-10-11,1.8304343714068794
2021-10-12,1.8239235033166752
2021-10-13,1.8371740446115992
2021-10-14,1.8456081129841657
2021-10-15,1.8599034672212786
2021-10-16,1.8548531566960544
2021-10-17,1.8582138556479
2021-10-18,1.864090622485989
2021-10-19,1.866954172545352
2021-10-20,1.8788915231849344
2021-10-21,1.8706842199947133
2021-10-22,1.8648286717758351
2021-10-23,1.8634973783328346
2021-10-24,1.8544243163750913
2021-10-25,1.8702183522017286
2021-10-26,1.8785159299617646
2021-10-27,1.8914002767468912
2021-10-28,1.8844412911443755
2021-10-29,1.8835413081743388
2021-10-30,1.8795161033158188
2021-10-31,1.877111268603707
2021-11-01,1.8922023718837129
2021-11-02,1.8992075659626186
2021-11-03,1.9092730189754015
2021-11-04,1.9034026061732021
2021-11-05,1.9016416844862623
2021-11-06,1.920990709090024
2021-11-07,1.9219572665532563
2021-11-08,1.9276387827795745
2021-11-09,1.9166089382494431
2021-11-10,1.8980953517946901
2021-11-11,1.90229842612742
2021-11-12,1.9003349067309876
2021-11-13,1.9014006852366165
2021-11-14,1.900895789457985
2021-11-15,1.8973131244432544
2021-11-16,1.8891974141391128
2021-11-17,1.8889699277580376
2021-11-18,1.8965285097588813
2021-11-19,1.8900634722898204
2021-11-20,1.8847669789424752
2021-11-21,1.8854915477001746
2021-11-22,1.8847818138724939
2021-11-23,1.8830009243838834
2021-11-24,1.8928301084722887
2021-11-25,1.8876301777361117
2021-11-26,1.912558459712139
2021-11-27,1.9088496200956053
2021-11-28,1.9015386267944865
2021-11-29,1.8925953326264242
2021-11-30,1.8933223696497645
2021-12-01,1.8913880362085729
2021-12-02,1.8910524805321218
2021-12-03,1.8897427776809033
2021-12-04,1.9080596881971168
2021-12-05,1.9080596881971168
2021-12-06,1.8989463184049584
2021-12-07,1.897909936566885
2021-12-08,1.897909936566885
2021-12-09,1.897909936566885
2021-12-10,1.897909936566885
2021-12-11,1.897135246927913
2021-12-12,1.8969106666067024
2021-12-13,1.8982312645886932
